"","Dist","nu","n","Rivest","Fisher","NormalMean","PivotMean"
"1","Cayley",0.25,10,75.2,97,85.6,93
"2","Fisher",0.25,10,73.8,95,84,91.4
"3","Mises",0.25,10,78,99.4,86.6,96.2
"4","Cayley",0.5,10,75.4,97.8,86.4,94
"5","Fisher",0.5,10,70.4,96.6,83.4,92.8
"6","Mises",0.5,10,82.4,99.4,86.2,95.8
"7","Cayley",0.75,10,70.6,96.4,79,93
"8","Fisher",0.75,10,70.6,97,81.4,93.4
"9","Mises",0.75,10,84.8,99.2,85.8,97.2
"10","Cayley",0.25,50,87.4,90,90.2,91.2
"11","Fisher",0.25,50,87.6,91.2,90,91.6
"12","Mises",0.25,50,92,94.6,91.2,92.2
"13","Cayley",0.5,50,86.2,88.2,87.6,88.4
"14","Fisher",0.5,50,89.8,92.4,89.2,91.4
"15","Mises",0.5,50,90.2,91,89.6,91.8
"16","Cayley",0.75,50,86,90.2,88.8,91
"17","Fisher",0.75,50,84.6,88.4,87,88.4
"18","Mises",0.75,50,89.4,92.2,89.6,90.4
"19","Cayley",0.25,100,90,90.4,88.8,90
"20","Fisher",0.25,100,87.8,89.6,89,89.4
"21","Mises",0.25,100,90.8,91.2,92.4,92.2
"22","Cayley",0.5,100,90,91,91,92.6
"23","Fisher",0.5,100,89.4,90,89.6,89
"24","Mises",0.5,100,91.2,91.4,90.6,91.4
"25","Cayley",0.75,100,90.8,92,90.8,92
"26","Fisher",0.75,100,91.2,93,91.2,92
"27","Mises",0.75,100,88.2,87.8,88.4,89
