"","Kappa","n","cover","width","Saccept","Kaccept"
"105",2,10,1,0.721630001397768,0.4398,0.4302
"106",2,10,0,0.624946763099582,0.3766,0.4012
"107",2,10,1,0.675728900245661,0.4164,0.415
"108",2,10,1,0.671418464023823,0.4156,0.4118
"109",2,10,1,1.60533047187901,0.5694,0.521
"110",2,10,1,0.742386681969986,0.437,0.4336
"111",2,10,1,0.771831275620167,0.4622,0.4294
"112",2,10,1,0.810830203609024,0.4852,0.4402
"113",2,10,1,0.821891738899628,0.4758,0.4578
"114",2,10,1,0.795717402508319,0.4742,0.4252
"115",2,10,1,1.65737018263657,0.5626,0.5308
"116",2,10,1,0.783139452539517,0.4702,0.4448
"117",2,10,1,0.624385052092267,0.3924,0.4048
"118",2,10,1,0.673516382282451,0.4248,0.4266
"119",2,10,1,0.626900521962347,0.3968,0.3962
"120",2,10,1,0.908492469976107,0.5018,0.4666
"121",2,10,1,1.567158546022,0.5628,0.5324
"122",2,10,1,0.65046081169343,0.4048,0.414
"123",2,10,1,0.615454869103073,0.3882,0.3946
"124",2,10,1,0.605277923072488,0.3714,0.403
"125",2,10,1,1.44605278498243,0.547,0.519
"126",2,10,1,0.630591690091684,0.3874,0.399
"127",2,10,1,0.656303925683295,0.4086,0.4224
"128",2,10,0,0.650445980607765,0.4072,0.4078
"129",2,10,1,0.802712063585286,0.4932,0.4516
"130",2,10,1,1.41447399577146,0.5264,0.4908
"131",2,10,1,0.637102250125335,0.4032,0.413
"132",2,10,1,0.83417139622706,0.4944,0.461
"133",2,10,1,0.695873215551166,0.4252,0.4272
"134",2,10,1,0.743804099432876,0.4268,0.4166
"135",2,10,1,1.7401498572635,0.5842,0.5404
"136",2,10,1,0.55254915126124,0.3354,0.385
"137",2,10,1,2.18796615299554,0.6296,0.571
"138",2,10,1,0.940121291058299,0.49,0.4714
"139",2,10,1,0.782122768033491,0.4532,0.443
"140",2,10,0,0.608849170481239,0.3778,0.4042
"141",2,10,1,0.635463537601963,0.3988,0.417
"142",2,10,1,0.737605790019029,0.4516,0.4316
"143",2,10,0,0.590108023185805,0.3598,0.3816
"144",2,10,1,0.707986195228351,0.428,0.4196
"145",2,10,1,0.714400492997035,0.4452,0.4116
"146",2,10,1,2.13499336755766,0.6204,0.5788
"147",2,10,1,0.835338463244532,0.4826,0.4664
"148",2,10,1,0.800476694026006,0.4988,0.451
"149",2,10,1,0.834716356581093,0.454,0.436
"150",2,10,0,0.750287895224723,0.451,0.4248
"151",2,10,1,0.774654857774136,0.4588,0.435
"152",2,10,1,1.773637254516,0.5974,0.5432
"153",2,10,1,0.542400289963276,0.3432,0.395
"154",2,10,1,0.828567385303219,0.4822,0.4618
"155",2,10,1,0.715437407512339,0.4438,0.4148
"156",2,10,1,0.830536178636349,0.477,0.4698
"157",2,10,1,0.658907820195689,0.3814,0.398
"158",2,10,1,0.734060673630236,0.4446,0.4306
"159",2,10,1,0.606909086119697,0.3828,0.4126
"160",2,10,1,0.823243195513126,0.4868,0.4524
"161",2,10,1,0.863560278775317,0.4892,0.4632
"162",2,10,1,0.714585677637801,0.4358,0.4184
"163",2,10,1,0.580836153078231,0.3632,0.3942
"164",2,10,1,1.1062057907681,0.5488,0.5084
"165",2,10,1,0.655366967032138,0.4056,0.4126
"166",2,10,1,0.749732990159481,0.479,0.4558
"167",2,10,0,0.7507644438967,0.4372,0.423
"168",2,10,1,0.699027696008335,0.4486,0.4328
"169",2,10,1,0.785320845243582,0.4902,0.451
"170",2,10,1,0.864986120124275,0.5092,0.458
"171",2,10,1,0.757720102110333,0.4596,0.4304
"172",2,10,1,0.976604279186139,0.5408,0.4998
"173",2,10,1,0.755126364868712,0.4734,0.4416
"174",2,10,0,0.671137331621213,0.4224,0.4214
"175",2,10,1,0.576879213824562,0.339,0.3954
"176",2,10,1,0.819289648077163,0.44,0.4674
"177",2,10,1,1.69244361505266,0.5644,0.53
"178",2,10,1,0.634575888614392,0.387,0.3984
"179",2,10,1,0.955476916153183,0.523,0.4818
"180",2,10,1,1.04552379749768,0.5076,0.4828
"181",2,10,1,0.730337767362716,0.413,0.426
"182",2,10,1,0.585876679701492,0.369,0.394
"183",2,10,1,0.883159307255543,0.493,0.4662
"184",2,10,1,0.781564878013203,0.4834,0.4504
"185",2,10,1,0.626159686763398,0.3654,0.4098
"186",2,10,1,0.620879716207859,0.376,0.4186
"187",2,10,1,0.700923381297785,0.4188,0.4208
"188",2,10,1,0.764218192494538,0.4504,0.4394
"189",2,10,1,0.709270516124648,0.4214,0.4116
"190",2,10,1,0.650692947452355,0.4264,0.4316
"191",2,10,1,0.679836016992558,0.4082,0.4122
"192",2,10,1,0.576563327095401,0.3424,0.387
"193",2,10,1,0.708840465044087,0.445,0.4262
"194",2,10,1,0.769923308484373,0.4678,0.4434
"195",2,10,1,0.779388620887535,0.4734,0.438
"196",2,10,1,0.838320892396389,0.4772,0.4446
"197",2,10,1,0.809617574870453,0.4722,0.4398
"198",2,10,1,0.867319216452831,0.488,0.4708
"199",2,10,1,0.677344338144759,0.4296,0.4244
"200",2,10,1,0.713395155204687,0.4586,0.4348
"201",2,10,1,0.7813403865212,0.4566,0.4406
"202",2,10,1,0.691640910126418,0.415,0.4092
"203",2,10,1,0.723495165740014,0.4376,0.436
"204",2,10,1,0.602648143465565,0.373,0.3928
"205",2,10,1,0.731290634495823,0.453,0.4196
"206",2,10,0,0.634240736603624,0.3906,0.4044
"207",2,10,1,2.48752232983388,0.6756,0.6124
"208",2,10,1,0.712567791906301,0.4298,0.4312
"209",2,10,1,0.739797114862376,0.4414,0.4254
"210",2,10,1,0.76234597132277,0.4666,0.4494
"211",2,10,1,0.580021391047525,0.361,0.3994
"212",2,10,1,0.656958300750726,0.4164,0.4084
"213",2,10,1,0.594954198706669,0.3604,0.3902
"214",2,10,1,0.80798137676725,0.4884,0.4402
"215",2,10,1,0.714406263917187,0.4314,0.42
"216",2,10,1,0.796252170402715,0.4828,0.4592
"217",2,10,1,0.883056664717726,0.4906,0.4628
"218",2,10,1,0.660476481957391,0.4038,0.412
"219",2,10,1,0.723149569952909,0.4388,0.428
"220",2,10,1,0.908725623676271,0.5158,0.4626
"221",2,10,1,1.21589777013592,0.574,0.527
"222",2,10,1,0.709583914061782,0.4412,0.4078
"223",2,10,1,0.555883316185365,0.3228,0.3768
"224",2,10,1,0.668939562477768,0.4064,0.4014
"225",2,10,1,0.554659877457311,0.33,0.3956
"226",2,10,1,0.76038031440858,0.4628,0.4388
"227",2,10,1,0.637015243333864,0.394,0.41
"228",2,10,1,0.648541653794772,0.3964,0.4034
"229",2,10,1,0.622714771329307,0.3838,0.4108
"230",2,10,1,0.717128521559627,0.4242,0.4336
"231",2,10,1,0.652123090792531,0.395,0.384
"232",2,10,1,0.602006554841303,0.3652,0.4018
"233",2,10,0,0.670972442760251,0.4184,0.4254
"234",2,10,1,0.60256761045643,0.3612,0.3988
"235",2,10,1,0.70291844831508,0.4276,0.4122
"236",2,10,1,0.875791279601569,0.5016,0.475
"237",2,10,1,0.632027641089285,0.3936,0.4154
"238",2,10,1,0.785654538287724,0.4604,0.4348
"239",2,10,1,0.638276540246447,0.3848,0.3962
"240",2,10,1,1.11366439096748,0.548,0.5168
"241",2,10,1,0.767313733718498,0.441,0.4306
"242",2,10,1,0.897208468827084,0.5088,0.4788
"243",2,10,1,0.601846757763128,0.352,0.398
"244",2,10,1,0.592710440814517,0.3562,0.402
"245",2,10,1,0.790275708073434,0.4672,0.442
"246",2,10,0,0.662146515783319,0.4088,0.4152
"247",2,10,1,1.18964305188254,0.504,0.4662
"248",2,10,1,0.957586578552252,0.5124,0.493
"249",2,10,1,0.525728216942922,0.3266,0.3766
"250",2,10,1,0.452557655657343,0.2426,0.377
"251",2,10,0,0.691078404779826,0.4052,0.4166
"252",2,10,1,0.725715764011429,0.4452,0.4216
"253",2,10,1,0.908192226783728,0.5136,0.479
"254",2,10,1,0.62663716526813,0.3668,0.3868
"255",2,10,1,0.661320215814923,0.4238,0.4174
"256",2,10,1,0.649057658690784,0.3864,0.399
"257",2,10,1,0.946340869885894,0.5142,0.4806
"258",2,10,1,0.634444396675953,0.383,0.3894
"259",2,10,1,0.693858041080127,0.4246,0.4058
"260",2,10,1,0.792778196502471,0.457,0.4496
"261",2,10,1,0.704736429352174,0.432,0.4138
"262",2,10,1,0.662929586609214,0.41,0.3994
"263",2,10,0,0.574526622948278,0.3438,0.4014
"264",2,10,1,0.752603154767368,0.4466,0.4282
"265",2,10,1,0.784031280934936,0.4866,0.4516
"266",2,10,1,0.659208715015458,0.4008,0.4128
"267",2,10,1,0.626283779388279,0.3772,0.3936
"268",2,10,0,0.547851692696522,0.3354,0.3758
