"","Kappa","n","cover","width","Saccept","Kaccept"
"97",1.15,10,0,0.575629505423147,0.3264,0.3818
"98",1.15,10,1,0.685558283370218,0.3986,0.4024
"99",1.15,10,1,2.38938618356752,0.7924,0.6622
"100",1.15,10,1,0.862980482520746,0.4742,0.4564
"101",1.15,10,1,1.10299308683933,0.5414,0.4852
"102",1.15,10,1,0.83083683516369,0.4854,0.4538
"103",1.15,10,1,1.0595067648737,0.5526,0.4912
"104",1.15,10,1,0.855986167238826,0.486,0.4452
"105",1.15,10,1,0.79075097634221,0.4418,0.4318
"106",1.15,10,1,0.553098832976292,0.324,0.3868
"107",1.15,10,1,0.56974082040412,0.338,0.3836
"108",1.15,10,1,0.64815697084584,0.3518,0.4038
"109",1.15,10,1,0.756078205466858,0.4368,0.4264
"110",1.15,10,1,0.654581044866622,0.3924,0.4106
"111",1.15,10,1,0.658345947658804,0.3926,0.4024
"112",1.15,10,1,0.717586305924079,0.422,0.422
"113",1.15,10,0,0.546505858218655,0.3176,0.386
"114",1.15,10,1,0.839048293531201,0.4814,0.449
"115",1.15,10,1,0.691722072202323,0.3948,0.4042
"116",1.15,10,1,0.660752153438938,0.395,0.4004
"117",1.15,10,1,0.653741609079198,0.4002,0.4172
"118",1.15,10,1,0.732292719356915,0.4218,0.4202
"119",1.15,10,0,0.55986783282316,0.31,0.3884
"120",1.15,10,0,0.691218442854486,0.386,0.4106
"121",1.15,10,1,0.873158913391036,0.501,0.4476
"122",1.15,10,1,0.664600599492878,0.3774,0.3958
"123",1.15,10,1,0.668226918036725,0.3746,0.4016
"124",1.15,10,1,0.999826366468642,0.5196,0.462
"125",1.15,10,1,0.636547692726997,0.3762,0.4048
"126",1.15,10,1,0.600251719560335,0.35,0.388
"127",1.15,10,1,0.697080378594065,0.4038,0.4306
"128",1.15,10,1,0.693390237608131,0.4258,0.402
"129",1.15,10,1,1.45094070963897,0.6466,0.5406
"130",1.15,10,1,1.09116257829487,0.5462,0.4988
"131",1.15,10,0,0.535969616775076,0.3174,0.4056
"132",1.15,10,1,1.05002698064242,0.5474,0.484
"133",1.15,10,1,0.668076267013116,0.3786,0.421
"134",1.15,10,1,0.624932173857597,0.3664,0.3844
"135",1.15,10,1,0.940238745318659,0.522,0.4718
"136",1.15,10,1,0.472434862961193,0.2674,0.3796
"137",1.15,10,1,1.07892022351377,0.5492,0.5024
"138",1.15,10,0,0.53666151993686,0.3156,0.3952
"139",1.15,10,1,0.753210345917568,0.4244,0.4138
"140",1.15,10,1,1.52820549515084,0.6086,0.5302
"141",1.15,10,1,1.72570021338344,0.6728,0.5778
"142",1.15,10,1,0.639726479992398,0.385,0.4044
"143",1.15,10,1,2.21741845433318,0.7424,0.6312
"144",1.15,10,1,0.536104805748474,0.3024,0.3894
"145",1.15,10,1,0.964168698047951,0.5374,0.4696
"146",1.15,10,0,0.543561356956474,0.3138,0.4048
"147",1.15,10,1,0.665079143016082,0.3916,0.407
"148",1.15,10,1,0.80594268684885,0.4418,0.4228
"149",1.15,10,0,0.567188033797807,0.3222,0.388
"150",1.15,10,1,0.662643605876493,0.3884,0.4034
"151",1.15,10,1,0.589149012103833,0.3452,0.4016
"152",1.15,10,1,0.694849572920065,0.4026,0.4124
"153",1.15,10,1,1.66497473076389,0.6796,0.583
"154",1.15,10,1,0.689684717242661,0.4042,0.4128
"155",1.15,10,1,1.03686984733388,0.538,0.4756
"156",1.15,10,1,0.728479313308132,0.4288,0.4116
"157",1.15,10,1,0.662265960423334,0.386,0.4026
"158",1.15,10,1,0.408052110422588,0.212,0.3952
"159",1.15,10,1,0.49263036801226,0.2818,0.3942
"160",1.15,10,1,0.699398320796998,0.4104,0.4094
"161",1.15,10,1,0.725404053279041,0.3988,0.4036
"162",1.15,10,1,0.906927233308745,0.5022,0.4494
"163",1.15,10,1,0.820835565264052,0.4592,0.435
"164",1.15,10,1,0.699060901541952,0.4164,0.423
"165",1.15,10,0,0.572393941907971,0.3266,0.395
"166",1.15,10,1,0.608633436579173,0.3708,0.3996
"167",1.15,10,1,0.595459028569709,0.36,0.3922
"168",1.15,10,1,0.649555301402246,0.3972,0.4174
"169",1.15,10,1,1.17003581219939,0.5728,0.4932
"170",1.15,10,1,0.815978430920668,0.44,0.4298
"171",1.15,10,1,0.749835060040415,0.4414,0.4278
"172",1.15,10,1,0.858422347034658,0.4648,0.4386
"173",1.15,10,1,0.870323005885023,0.5034,0.4556
"174",1.15,10,1,0.863929317217244,0.4998,0.4502
