"","Dist","nu","n","Rivest","Fisher","NormalMean","PivotMean"
"1","Cayley",0.25,20,83.4,91.94,87.22,90.92
"2","Fisher",0.25,20,83.84,92.32,87.92,91.1
"3","Mises",0.25,20,86.94,95.88,88.98,92.28
"4","Cayley",0.5,20,82.16,91.2,86.5,91.3
"5","Fisher",0.5,20,83.84,92.34,87.74,91.92
"6","Mises",0.5,20,87.84,95.42,88.9,92.46
"7","Cayley",0.75,20,80.84,90.36,85.56,91.32
"8","Fisher",0.75,20,82.7,91.44,86.5,92.04
"9","Mises",0.75,20,88.58,95.34,88.3,93.84
"10","Cayley",0.25,10,74.02,96.76,83.82,92.04
"11","Fisher",0.25,10,74.86,96.62,84.42,92.26
"12","Mises",0.25,10,79.62,98.84,86.78,94.88
"13","Cayley",0.5,10,74.98,96.24,83.72,92.6
"14","Fisher",0.5,10,73.48,96.68,82.94,92.64
"15","Mises",0.5,10,82.5,99.14,86.7,95.72
"16","Cayley",0.75,10,72.28,95.88,81.14,92.78
"17","Fisher",0.75,10,73.8,96.84,81.4,93.64
"18","Mises",0.75,10,83.2,99.32,85.88,96.48
"19","Cayley",0.25,50,87.94,90.38,89.5,90.72
"20","Fisher",0.25,50,87.94,90.14,89.3,90.54
"21","Mises",0.25,50,89,90.7,89.6,90.52
"22","Cayley",0.5,50,86.94,89.58,88.74,90.28
"23","Fisher",0.5,50,87.38,89.96,88.86,90.02
"24","Mises",0.5,50,88.48,89.84,88.32,89.46
"25","Cayley",0.75,50,86.3,89.82,88.26,90.72
"26","Fisher",0.75,50,86.32,89.74,88.12,90.74
"27","Mises",0.75,50,89.96,91.2,88.8,91.02
"28","Cayley",0.25,100,88.88,90,89.4,90.2
"29","Fisher",0.25,100,88.26,89.36,89.32,89.82
"30","Mises",0.25,100,90.14,90.68,90.2,90.78
"31","Cayley",0.5,100,88.2,89.68,89.2,89.94
"32","Fisher",0.5,100,88.94,89.74,89.34,89.96
"33","Mises",0.5,100,89.72,89.96,89.78,90.14
"34","Cayley",0.75,100,89.4,91.1,90.22,91.22
"35","Fisher",0.75,100,89.3,90.04,89.24,90.56
"36","Mises",0.75,100,89.28,89.68,88.96,89.64
